MFCC_Features,Emotion_Label
"[ 1.2017686   0.7803961   0.76737607 -0.01511089  1.7526255  -0.23220088
 -0.64183277  1.7702168  -0.71011055  0.7801354   1.0466919  -0.20887189
 -0.03133288]",Radosc
"[ 0.89468306 -0.95806754  1.2847891   0.8739426   0.5729411   0.6009967
 -0.45319068  0.12145536  0.61383927  0.39491144 -0.34518322 -0.46997112
 -0.611357  ]",Radosc
"[-1.227309    0.26892525 -1.0907952   0.8123919   1.0699497  -1.074365
 -0.84002507 -1.0538105  -0.20272532 -1.1057861  -1.008899   -0.1766646
 -0.03965618]",Radosc
"[-1.117745    0.5868627   0.40879938  1.7434268   1.3412845   1.0403329
 -1.0389351  -0.73489386  1.6213797  -0.15497509 -1.6072505   1.9481881
  0.46682465]",Radosc
"[ 0.8623548  -1.3166478  -0.9409067   0.14710602  0.1730315  -1.2709355
 -0.03471749  0.06786055 -1.1908046   0.46036687 -1.4825355  -1.2646505
  0.6635978 ]",Radosc
"[-0.11492065  0.13753696 -2.0099487   0.66707784 -0.1050832  -1.500444
 -2.1404612  -0.31057134  1.7194339  -0.32234472 -1.7963431   1.4891679
 -1.3138919 ]",Radosc
"[ 1.3815391  -0.40872088 -1.120172   -2.016371   -0.8142054  -2.8369462
 -1.5813028  -1.0985043  -2.534807   -0.67638797 -0.6292758  -1.4389642
 -0.0094229 ]",Radosc
"[ 0.0448542   0.49328455 -1.7144916  -0.79717934  0.08721279 -0.5573045
 -2.1340396   0.12391553  0.1518182   0.8961017  -0.7098705  -0.4756388
 -1.4127532 ]",Radosc
"[-0.47497255  0.8428341   0.10969     0.4515784  -0.81903344  1.6128582
  0.17075923 -1.2914915  -0.20040306 -0.13863832 -0.16664228  1.9704775
 -0.15469876]",Radosc
"[ 1.6146687  -1.2690305   0.6099989  -0.3685208   0.48699668  0.6807974
 -1.091276   -0.10699581  0.03464263  0.7329024   0.3647208   0.06383026
  0.1908736 ]",Radosc
"[ 0.18886821  1.7940438   0.24066408  0.899329    2.0127797   1.1449648
  0.92532843  1.4458017   0.55900985 -0.57912326  0.33483934  0.3038191
  0.13092984]",Radosc
"[ 0.6486871  -0.32209998 -0.8638828  -1.5561862  -1.1366699  -1.6973574
  0.6397443  -1.3139013  -0.751624   -1.1495678  -0.96967304  0.34774888
 -1.2968416 ]",Radosc
"[-0.74831134 -0.46937844 -1.2913874   0.75239486  0.81084126 -1.7173672
 -1.930453   -0.64742786 -0.40972146  1.3829807  -1.3624247  -0.43216762
  1.6295136 ]",Radosc
"[ 0.15545104 -0.07274454  0.15370077 -0.20908943 -0.13505803 -1.3993205
 -1.3710957   0.03034167  0.32294068  0.21028535  0.6887402   2.0154467
  0.8847393 ]",Radosc
"[ 1.2637045  -1.492241   -0.6243945  -1.4838849  -0.8185759  -1.9274545
 -1.4328141   0.03839326 -1.7203819  -0.1943959   0.01247123 -0.31704137
  1.2979387 ]",Radosc
"[ 1.3190204   0.81573653  1.085675   -0.12129132 -0.9698916   0.64136916
  0.9405872  -0.11405336 -0.99933773  1.5027701   0.00586804  0.01328216
  0.3693379 ]",Radosc
"[-0.4385155   1.3757951   0.15180114  0.7951242   2.1043286   0.42387313
  0.97768074  2.281098    0.21914662  0.72591484  0.7278807  -1.5825683
  1.1481593 ]",Radosc
"[ 1.294159   -0.61231846 -1.7144352   0.85397124 -0.61716557 -1.6983299
 -1.504204   -2.824816    0.48512346 -2.1242402  -1.7956167   0.6287707
 -0.32216108]",Radosc
"[-0.18427616  0.34600574  0.9627732  -0.07989559  0.904337   -0.6340026
  1.3191662   2.0719101  -0.10216004  0.2850357   0.52677953  0.8543535
  1.2007111 ]",Radosc
"[ 0.33931553  0.46043906 -0.6564666   0.5646161  -0.19397725 -2.4274156
 -1.4017441  -1.4936341  -0.6097934   0.71158344 -1.9942781   1.5679026
  0.5568623 ]",Radosc
"[ 0.9449978   0.0587883  -0.80224955 -0.35441616 -0.09606895 -2.3960283
 -1.0133945  -1.8211333   0.0989142  -0.24290352 -0.6122712   0.63329643
 -1.6707436 ]",Radosc
